item	itemLabel	pub	id	mndate	mxdate
http://www.wikidata.org/entity/Q21090946	High diversity, low disparity and small body size in plesiosaurs (Reptilia, Sauropterygia) from the Triassic-Jurassic boundary	2012-01-01T00:00:00Z	Q53996903	2012	2012
http://www.wikidata.org/entity/Q30651107	Trypanorhynch cestodes from elasmobranchs from the Gulf of Oman, with the description of Prochristianella garshaspi n. sp. (Eutetrarhynchidae).	2013-06-22T00:00:00Z	Q54197235	2012	2018
http://www.wikidata.org/entity/Q39061933	Molecular systematics of sclerosomatid harvestmen (Opiliones, Phalangioidea, Sclerosomatidae): geography is better than taxonomy in predicting phylogeny.	2011-10-07T00:00:00Z	Q54371497	2006	2018
http://www.wikidata.org/entity/Q57737794	Chirocephalus sarpedonis sp. nov. (Branchiopoda, Anostraca, Chirocephalidae) from Turkey questions the monophyly of the traditional Chirocephalus species-groups	2017-07-01T00:00:00Z	Q54530027	2017	2017
http://www.wikidata.org/entity/Q29042594	Morphology, evolution and usage of urticating setae by tarantulas (Araneae: Theraphosidae)	2013-08-01T00:00:00Z	Q54540489	2005	2014
http://www.wikidata.org/entity/Q28661002	Rigorous approaches to species delimitation have significant implications for African crocodilian systematics and conservation	2014-02-07T00:00:00Z	Q54551917	2009	2017
http://www.wikidata.org/entity/Q21145750	The discovery of new deep-sea hydrothermal vent communities in the southern ocean and implications for biogeography.	2012-01-03T00:00:00Z	Q54552653	2012	2017
http://www.wikidata.org/entity/Q21188395	The deep phylogeny of jumping spiders (Araneae, Salticidae)	2014-09-15T00:00:00Z	Q54554837	2014	2015
http://www.wikidata.org/entity/Q24237479	Vatellini Sharp (Coleoptera, Dytiscidae) from Brazil: two new species, new records, and a checklist	2016-05-12T00:00:00Z	Q54556640	2006	2016
http://www.wikidata.org/entity/Q24238379	A review of the subfamily Picobiinae Johnston and Kethley, 1973 (Acariformes: Prostigmata: Syringophilidae)	2016-05-19T00:00:00Z	Q54566284	2002	2016
http://www.wikidata.org/entity/Q29467794	Chimaerocyon gen. nov., a morphologically aberrant myrmecophilous genus of water scavenger beetle (Coleoptera: Hydrophilidae: Sphaeridiinae)	2013-09-23T00:00:00Z	Q54672475	2013	2018
http://www.wikidata.org/entity/Q24260450	A spectacular new species of seadragon (Syngnathidae).	2015-02-18T00:00:00Z	Q54769489	2011	2017
http://www.wikidata.org/entity/Q24803330	Foraging behavior and prey interactions by a guild of predators on various lifestages of Bemisia tabaci	2004-01-01T00:00:00Z	Q54888843	2002	2018
http://www.wikidata.org/entity/Q60016756	Three new solar-powered species of the genus Phyllodesmium Ehrenberg, 1831 (Mollusca: Nudibranchia: Aeolidioidea) from the tropical Indo-Pacific, with analysis of their photosynthetic activity and notes on biology	2008-07-16T00:00:00Z	Q55085317	2008	2015
